"category_name","month","avg_review_score","total_reviews"
"fixed_telephony","2018-01-01","4.10","10"
"fixed_telephony","2018-02-01","2.82","11"
"fixed_telephony","2018-03-01","3.57","14"
"fixed_telephony","2018-04-01","3.18","11"
"fixed_telephony","2018-05-01","3.44","16"
"fixed_telephony","2018-06-01","4.24","17"
"fixed_telephony","2018-07-01","3.27","11"
"fixed_telephony","2018-08-01","4.20","10"
"flowers","2017-11-01","4.33","6"
"flowers","2017-12-01","5.00","2"
"flowers","2018-01-01","4.25","8"
"flowers","2018-02-01","4.75","4"
"flowers","2018-03-01","5.00","3"
"flowers","2018-04-01","3.33","3"
"flowers","2018-05-01","3.00","1"
"flowers","2018-06-01","5.00","2"
"flowers","2018-07-01","5.00","2"
"food","2016-10-01","5.00","1"
"food","2017-01-01","5.00","2"
"food","2017-02-01","4.25","8"
"food","2017-03-01","4.38","21"
"food","2017-04-01","4.25","8"
"food","2017-05-01","3.33","3"
"food","2017-06-01","5.00","1"
"food","2017-07-01","5.00","7"
"food","2017-08-01","4.75","8"
"food","2017-09-01","4.29","17"
"food","2017-10-01","4.70","10"
"food","2017-11-01","4.00","12"
"food","2017-12-01","4.50","10"
"food","2018-01-01","3.74","19"
"food","2018-02-01","3.74","38"
"food","2018-03-01","3.74","34"
"food","2018-04-01","4.46","39"
"food","2018-05-01","4.48","44"
"food","2018-06-01","4.04","24"
"food","2018-07-01","4.26","57"
"food","2018-08-01","4.45","111"
